institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
CEDaR,Agri-Food and Biosciences Institute Marine Surveys,1,2014,11,Bivalvia,Lucinoida,Lucinidae,Lucinoma,,Lucinoma borealis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus
SEWBReC,SEWBReC Molluscs (South Wales),,2002,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
SEWBReC,SEWBReC Molluscs (South Wales),,2016,5,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,4,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,1,Gastropoda,Pulmonata,Milacidae,Tandonia,Budapest Keeled Slug,Tandonia budapestensis
Seasearch,Seasearch Marine Surveys in Wales,,2011,8,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
Joint Nature Conservation Committee,,,1992,6,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Grey Sea Slug,Aeolidia papillosa
Natural Resources Wales,,9,2004,8,Bivalvia,Mytiloida,Mytilidae,,,Mytilidae
Seasearch,Seasearch Marine Surveys in Wales,,2015,5,Gastropoda,Nudibranchia,Polyceridae,Limacia,Orange-Clubbed Sea Slug,Limacia clavigera
Natural Resources Wales,,10,2005,4,Bivalvia,Veneroida,Semelidae,Abra,,Abra
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,7,2008,11,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1980,6,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1990,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,,2003,9,Bivalvia,Veneroida,Veneridae,Venerupis,Pullet Carpet Shell,Venerupis corrugata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1998,3,Gastropoda,Pulmonata,Arionidae,Arion,Large Black Slug,Arion (Arion) ater
Natural Resources Wales,,,1996,,Bivalvia,Unionoida,Margaritiferidae,Margaritifera,Freshwater Pearl Mussel,Margaritifera (Margaritifera) margaritifera
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1989,11,Gastropoda,Pulmonata,Limacidae,Lehmannia,Tree Slug,Lehmannia marginata
Natural Resources Wales,,O,1996,6,Gastropoda,Neogastropoda,Muricidae,Ocenebra,Oyster Drill,Ocenebra erinaceus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1995,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,O,1994,12,Bivalvia,Veneroida,Semelidae,Abra,,Abra alba
Natural Resources Wales,,P,2009,5,Gastropoda,,Patellidae,Patella,Black-footed Limpet,Patella depressa
NRW,Welsh Invertebrate Database (WID),1,2003,9,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula
NRW,Welsh Invertebrate Database (WID),,2012,6,Gastropoda,,Valvatidae,Valvata,Flat Valve Snail,Valvata cristata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,175,2014,9,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
SEWBReC,SEWBReC Molluscs (South Wales),,2004,7,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2002,9,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
