institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1995,9,Bivalvia,Veneroida,Semelidae,Abra,,Abra alba
Seasearch,Seasearch Marine Surveys in Wales,,2005,7,Gastropoda,Littorinimorpha,Triviidae,Trivia,Spotted Cowrie,Trivia monacha
Natural Resources Wales,,13,2005,7,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Common Razor Shell,Ensis ensis
Natural Resources Wales,,0,2001,12,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
SEWBReC,SEWBReC Molluscs (South Wales),,2015,12,Gastropoda,Pulmonata,Limacidae,Limacus,Green Cellar Slug,Limacus maculatus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2002,9,Gastropoda,,Trochidae,Gibbula,Flat Top Shell,Steromphala umbilicalis
Natural Resources Wales,,P,2008,9,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Laver Spire Shell,Peringia ulvae
SEWBReC,SEWBReC Molluscs (South Wales),,2001,9,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,1990,3,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Striated Whorl Snail,Vertigo (Vertigo) substriata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,10,Bivalvia,Veneroida,Veneridae,Chamelea,Striped Venus,Chamelea gallina
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1996,10,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,P,2012,6,Gastropoda,,Trochidae,Gibbula,,Gibbula
SEWBReC,SEWBReC Molluscs (South Wales),,2013,2,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Cellar Snail,Oxychilus (Oxychilus) cellarius
Natural Resources Wales,,P,2004,8,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,41,2012,8,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Joint Nature Conservation Committee,,,2012,2,Bivalvia,Pectinoida,Anomiidae,,,Anomiidae
Natural Resources Wales,,R,1975,5,Bivalvia,Veneroida,Cardiidae,Acanthocardia,Rough Cockle,Acanthocardia tuberculata
NRW,Welsh Invertebrate Database (WID),,1993,2,Gastropoda,Pulmonata,Hygromiidae,Zenobiella,Brown Snail,Zenobiella subrufescens
Joint Nature Conservation Committee,,2,1995,6,Bivalvia,Veneroida,Basterotiidae,Saxicavella,,Saxicavella jeffreysi
SEWBReC,SEWBReC Molluscs (South Wales),,2008,,,,,,Invertebrates (Molluscs),Mollusca
NRW,Welsh Invertebrate Database (WID),,2012,7,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
NRW,Welsh Invertebrate Database (WID),,1997,7,Gastropoda,,Valvatidae,Valvata,Flat Valve Snail,Valvata cristata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,5,2005,4,Bivalvia,Anomalodesmata,Thraciidae,Thracia,,Thracia
Joint Nature Conservation Committee,,,2012,2,Bivalvia,Carditoida,Astartidae,Astarte,,Astarte sulcata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,7,2008,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
SEWBReC,SEWBReC Molluscs (South Wales),,2016,8,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2001,9,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1887,5,Gastropoda,,Valvatidae,Valvata,Valve Snail,Valvata piscinalis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1991,7,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
SEWBReC,Dr Mary Gillham Archive Project,,1988,9,Gastropoda,Pulmonata,Helicidae,Cepaea,,Cepaea (Cepaea) agg.
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2000,1,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
Natural Resources Wales,,1,1997,8,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1988,12,Bivalvia,[unassigned] Euheterodonta,Pharidae,Pharus,,Pharus legumen
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1983,3,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,31,2017,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,5,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1993,7,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2015,6,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1000-9999,1990,10,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural Resources Wales,,,2001,5,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Natural Resources Wales,,,1998,4,Bivalvia,Pectinoida,Anomiidae,,,Anomiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
Seasearch,Seasearch Marine Surveys in Wales,,2018,6,Gastropoda,Nudibranchia,Cuthonellidae,Cuthonella,,Cuthonella concinna
Joint Nature Conservation Committee,,,2003,7,Bivalvia,Veneroida,Tellinidae,Macomangulus,Thin Tellin,Macomangulus tenuis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1970,8,Gastropoda,Pulmonata,Arionidae,Arion,,Arion (Kobeltia) agg.
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2000,9,Gastropoda,Littorinimorpha,Bithyniidae,,,Bithyniidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2004,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2002,9,Bivalvia,Veneroida,Veneridae,Dosinia,Rayed Artemis,Dosinia exoleta
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Trochulus,,Trochulus (Trochulus) sericeus
NRW,Welsh Invertebrate Database (WID),,1988,8,Gastropoda,Pulmonata,Pristilomatidae,Vitrea,,Vitrea crystallina seg.
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1973,4,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Globular Pea Mussel,Pisidium hibernicum
Natural Resources Wales,,7,2002,1,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
West Wales Biodiversity Information Centre,,,1899,12,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1996,6,Gastropoda,Littorinimorpha,Rissoidae,Onoba,,Onoba semicostata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,14,2003,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Glossy Glass Snail,Oxychilus (Oxychilus) navarricus subsp. helveticus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2013,9,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1997,9,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Striated Whorl Snail,Vertigo (Vertigo) substriata
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,3,2016,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Natural Resources Wales,,3,2005,4,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,10,Bivalvia,Myoida,Myidae,Mya,Sand Gaper,Mya arenaria
SEWBReC,SEWBReC Molluscs (South Wales),,2020,1,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Valloniidae,Spermodea,Plated Snail,Spermodea lamellata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2013,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1998,12,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
SEWBReC,SEWBReC Molluscs (South Wales),,2014,11,Gastropoda,Pulmonata,Agriolimacidae,Deroceras,Netted Field Slug,Deroceras (Deroceras) reticulatum
NRW,Welsh Invertebrate Database (WID),,2011,6,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2007,5,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,,Lymnaea (Stagnicola)
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Helicidae,Cepaea,Brown-lipped Snail,Cepaea (Cepaea) nemoralis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1992,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Joint Nature Conservation Committee,,R,1995,7,Polyplacophora,Chitonida,Lepidochitonidae,Lepidochitona,,Lepidochitona (Lepidochitona) cinerea
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1996,11,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,5,2002,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
SEWBReC,SEWBReC Molluscs (South Wales),,2016,5,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula
SEWBReC,SEWBReC Molluscs (South Wales),,2015,9,Gastropoda,Pulmonata,Hygromiidae,Hygromia,Girdled Snail,Hygromia (Hygromia) cinctella
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1978,7,Bivalvia,Veneroida,Mactridae,Mactra,Rayed Trough Shell,Mactra stultorum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,2,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Flat Periwinkle,Littorina obtusata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,15,2002,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,Welsh Invertebrate Database (WID),652,2016,6,Bivalvia,Unionoida,Margaritiferidae,Margaritifera,Freshwater Pearl Mussel,Margaritifera (Margaritifera) margaritifera
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1997,11,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,40,2002,5,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
SEWBReC,SEWBReC Molluscs (South Wales),,2011,1,Gastropoda,Pulmonata,Limacidae,Malacolimax,Slender Slug,Malacolimax tenellus
Natural Resources Wales,,58,2005,8,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1998,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2016,6,Gastropoda,Pulmonata,Limacidae,Limacus,Green Cellar Slug,Limacus maculatus
Natural Resources Wales,,P,2004,7,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,Welsh Invertebrate Database (WID),,2005,5,Gastropoda,Pulmonata,Arionidae,Arion,Large Black Slug,Arion (Arion) ater
Cofnod,NRW Regional Data: North Wales,,2002,12,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1950,,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1970,5,Gastropoda,Pulmonata,Arionidae,Arion,Hedgehog Slug,Arion (Kobeltia) intermedius
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2007,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1999,10,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1936,9,Gastropoda,[unassigned] Caenogastropoda,Viviparidae,Viviparus,River Snail,Viviparus viviparus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,12,Gastropoda,,Acteonidae,Acteon,,Acteon tornatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,9,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Pod Razor Shell,Ensis siliqua
SEWBReC,SEWBReC Molluscs (South Wales),,2012,8,Gastropoda,Pulmonata,Helicidae,Cepaea,White-lipped Snail,Cepaea (Cepaea) hortensis
Seasearch,Seasearch Marine Surveys in Wales,,2014,6,Gastropoda,Nudibranchia,Facelinidae,Facelina,,Facelina auriculata
NRW,Welsh Invertebrate Database (WID),1,1988,6,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2007,4,Gastropoda,Littorinimorpha,Bithyniidae,,,Bithyniidae
SEWBReC,SEWBReC Molluscs (South Wales),,2001,5,Gastropoda,Pulmonata,Gastrodontidae,Zonitoides,Shiny Glass Snail,Zonitoides (Zonitoides) nitidus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2013,3,Gastropoda,Pulmonata,Helicidae,Cepaea,Brown-lipped Snail,Cepaea (Cepaea) nemoralis
SEWBReC,SEWBReC Molluscs (South Wales),,2015,8,Gastropoda,Pulmonata,Agriolimacidae,Deroceras,Netted Field Slug,Deroceras (Deroceras) reticulatum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2008,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
SEWBReC,SEWBReC Molluscs (South Wales),,1976,5,Polyplacophora,,,,Chitons,Polyplacophora
NRW,Welsh Invertebrate Database (WID),,1976,,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
Joint Nature Conservation Committee,,1,1995,6,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
Natural Resources Wales,,P,1978,9,Bivalvia,Veneroida,Kelliidae,Kellia,,Kellia suborbicularis
SEWBReC,SEWBReC Molluscs (South Wales),,2011,11,Gastropoda,Pulmonata,Limacidae,Limax,Leopard Slug,Limax maximus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,74,2008,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2004,4,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,Welsh Invertebrate Database (WID),29,1998,2,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Marsh Whorl Snail,Vertigo (Vertigo) antivertigo
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2002,9,Gastropoda,Littorinimorpha,Rissoidae,Onoba,,Onoba aculeus
Natural Resources Wales,,P,2007,5,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
Natural Resources Wales,,13,1997,8,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1911,,Gastropoda,Pulmonata,Valloniidae,Acanthinula,Prickly Snail,Acanthinula aculeata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,12,Bivalvia,Myoida,Teredinidae,Teredo,Great Shipworm,Teredo navalis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,10,2005,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
SEWBReC,Dr Mary Gillham Archive Project,,1975,10,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
SEWBReC,SEWBReC Molluscs (South Wales),,2016,6,Gastropoda,Pulmonata,Limacidae,Lehmannia,Tree Slug,Lehmannia marginata
BIS,Montgomeryshire Wildlife Trust records held by BIS,,1985,,Gastropoda,Hygrophila,Lymnaeidae,Radix,Ear Pond Snail,Radix auricularia
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1969,7,Bivalvia,Veneroida,Sphaeriidae,Musculium,Lake Orb Mussel,Musculium lacustre
NRW,Welsh Invertebrate Database (WID),8,1996,,Gastropoda,Pulmonata,Lauriidae,Leiostyla,English Chrysalis Snail,Leiostyla (Leiostyla) anglica
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2013,10,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1991,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Seasearch,Seasearch Marine Surveys in Wales,,2012,5,Gastropoda,Nudibranchia,Discodorididae,Rostanga,,Rostanga rubra
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,10,2015,5,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2004,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,1 present (Exact),1968,,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2004,9,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,3,Bivalvia,[unassigned] Euheterodonta,Hiatellidae,Hiatella,Wrinkled Rock Borer,Hiatella arctica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,17,2018,10,Gastropoda,Hygrophila,Acroloxidae,Acroloxus,Lake Limpet,Acroloxus lacustris
NRW,Welsh Invertebrate Database (WID),,1985,4,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2017,2,Gastropoda,Pulmonata,Arionidae,Arion,Blue-black Soil Slug,Arion (Kobeltia) hortensis
Natural Resources Wales,,25,2008,2,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2000,9,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Arionidae,Arion,Dusky Slug,Arion (Mesarion) subfuscus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Agriolimacidae,Deroceras,Marsh Slug,Deroceras (Deroceras) laeve
Natural Resources Wales,,R,2010,1,Bivalvia,Mytiloida,Mytilidae,Modiolus,Horse-mussel,Modiolus modiolus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,7,Gastropoda,,Margaritidae,Margarites,Pearly Top Shell,Margarites helicinus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1995,4,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2013,6,Gastropoda,Pulmonata,Agriolimacidae,Deroceras,Netted Field Slug,Deroceras (Deroceras) reticulatum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,5,Gastropoda,,Patellidae,Patella,China Limpet,Patella ulyssiponensis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,4,Gastropoda,Littorinimorpha,Littorinidae,Melarhaphe,Small Periwinkle,Melarhaphe neritoides
Natural Resources Wales,,13,2000,7,Bivalvia,Veneroida,Veneridae,Chamelea,Striped Venus,Chamelea gallina
Marine Biological Association,,,2007,7,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,American Slipper Limpet,Crepidula fornicata
NRW,Welsh Invertebrate Database (WID),1,2004,6,Gastropoda,Pulmonata,Vitrinidae,Vitrina,Winter Semi-slug,Vitrina pellucida
Natural Resources Wales,,O,1996,10,Bivalvia,Veneroida,Montacutidae,Kurtiella,,Kurtiella bidentata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (rare and scarce species),,1972,9,Gastropoda,Pulmonata,Arionidae,Arion,,Arion (Arion) agg.
NRW,Welsh Invertebrate Database (WID),,1981,7,Gastropoda,Pulmonata,Arionidae,Arion,Large Black Slug,Arion (Arion) ater
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2019,8,Gastropoda,Pulmonata,Arionidae,Arion,Large Black Slug,Arion (Arion) ater
Cofnod,NRW Regional Data: North Wales,,1994,7,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,1991,5,Gastropoda,Hygrophila,Planorbidae,Planorbis,Margined Ramshorn,Planorbis planorbis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,1988,7,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,,2004,5,Bivalvia,[unassigned] Euheterodonta,Hiatellidae,Hiatella,Wrinkled Rock Borer,Hiatella arctica
NRW,Welsh Invertebrate Database (WID),,1999,5,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Jenkins' Spire Snail,Potamopyrgus antipodarum
Natural Resources Wales,,14,2009,4,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,3,Gastropoda,,Phasianellidae,Tricolia,Pheasant shell,Tricolia pullus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2016,9,Gastropoda,Hygrophila,Planorbidae,Planorbis,Margined Ramshorn,Planorbis planorbis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,7,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1998,3,Gastropoda,Pulmonata,Carychiidae,Carychium,Long-toothed Herald Snail,Carychium tridentatum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Joint Nature Conservation Committee,,O,1983,8,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,10,Bivalvia,Veneroida,Arcticidae,Arctica,Icelandic Cyprine,Arctica islandica
Joint Nature Conservation Committee,,C,1982,9,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2001,11,Bivalvia,[unassigned] Euheterodonta,Pharidae,Pharus,,Pharus legumen
