Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
"Melyd Avenue, Prestatyn, upper column",CAR-1487,50BC - AD240,Wales,Denbighshire,Peat,Radiometric,Palaeoenvironmental study of a peat layer covered by a Romano-British stone surface.,,N
"Melyd Avenue, Prestatyn, upper column",CAR-1488,210BC - AD80,Wales,Denbighshire,Peat,Radiometric,Palaeoenvironmental study of a peat layer covered by a Romano-British stone surface.,,N
Milltir Ceg,SRR-2085,840BC - 590BC,Wales,Denbighshire,Peat,[Not recorded],Palaeoenvironmental study of peat deposit by J A Taylor in 1981 (Harkness et al 1997).,,N
Moel Hiraddug,CAR-372,520BC - 200BC,Wales,Denbighshire,Charcoal,Radiometric,Hillfort.,,N
Moel Hiraddug,CAR-373,750BC - 230BC,Wales,Denbighshire,Charcoal,Radiometric,Hillfort.,,N
Moel Hiraddug,CAR-374,760BC - 360BC,Wales,Denbighshire,Charcoal,Radiometric,Hillfort.,,N
Moel-y-Gaer,SUERC-43981,360BC - 160BC,Wales,Denbighshire,Charcoal (hazel),AMS,Two possible roundhouses within a hillfort.,,N
Moel-y-Gaer,SUERC-43982,370BC - 190BC,Wales,Denbighshire,Charcoal (alder),AMS,"Excavation of two potential roundhouses within a hillfort (Grant and Jones 2013, 49).",,N
Moel-y-Gaer,SUERC-43983,390BC - 200BC,Wales,Denbighshire,Charcoal (blackthorn),AMS,Two possible roundhouses within a hillfort.,,N
"Nant Hall Road, Prestatyn",CAR-1420,4530BC - 4230BC,Wales,Denbighshire,Shell,Radiometric,Small mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site A",CAR-1425,3020BC - 2570BC,Wales,Denbighshire,Peat (fen),Radiometric,Palaeoenvironmental study of a wetland sequence.,,N
"Nant Hall Road, Prestatyn, site A",CAR-1427,3940BC - 3520BC,Wales,Denbighshire,Peat (fen),Radiometric,Palaeoenvironmental study of a wetland sequence.,,N
"Nant Hall Road, Prestatyn, site A",CAR-1484,810BC - 400BC,Wales,Denbighshire,Peat,Radiometric,Palaeoenvironmental study of a wetland sequence.,,N
"Nant Hall Road, Prestatyn, site A",CAR-1485,3950BC - 3630BC,Wales,Denbighshire,Peat,Radiometric,Palaeoenvironmental study of a wetland sequence.,,N
"Nant Hall Road, Prestatyn, site B",CAR-1356,3640BC - 3350BC,Wales,Denbighshire,Charcoal,Radiometric,0.05m thick shell midden below 0.28m of peat.,,N
"Nant Hall Road, Prestatyn, site C",CAR-1355,3930BC - 3520BC,Wales,Denbighshire,Charcoal,Radiometric,0.18 - 0.3m thick cockle shell midden below 0.4m of peat.,,N
"Nant Hall Road, Prestatyn, site C",CAR-1426,3960BC - 3630BC,Wales,Denbighshire,?Peat,Radiometric,0.18 - 0.3m thick cockle shell midden below 0.4m of peat.,,N
"Nant Hall Road, Prestatyn, site C",CAR-1482,1410BC - 1010BC,Wales,Denbighshire,Peat,Radiometric,0.18 - 0.3m thick cockle shell midden below 0.4m of peat.,,N
"Nant Hall Road, Prestatyn, site C",CAR-1483,3310BC - 2870BC,Wales,Denbighshire,Peat,Radiometric,0.18 - 0.3m thick cockle shell midden below 0.4m of peat.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1418,2930BC - 2570BC,Wales,Denbighshire,Charcoal,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1419,3270BC - 2870BC,Wales,Denbighshire,Wood,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1421,3930BC - 3530BC,Wales,Denbighshire,Wood,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1423,4330BC - 3950BC,Wales,Denbighshire,Shell,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1424,4460BC - 4070BC,Wales,Denbighshire,Charcoal,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site D",CAR-1486,2040BC - 1680BC,Wales,Denbighshire,Peat,Radiometric,0.02 - 0.2m thick mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site E",CAR-1422,4050BC - 3700BC,Wales,Denbighshire,Charcoal,Radiometric,Small mussel shell midden.,,N
"Nant Hall Road, Prestatyn, site H3",SWAN-14,1230BC - 830BC,Wales,Denbighshire,Charcoal,Radiometric,Colluvial soil above a palaeosol.,,N
Orchid Cave,OxA-3817,3010BC - 2470BC,Wales,Denbighshire,"Bone (human, pelvis)",AMS,Cave containing archaeology.,,N
Penycloddiau,Beta-290894,,Wales,Denbighshire,Charcoal (ericaceous plant),[Not recorded],"Pollen analysis of possible buried turf and pit at a cairn (Caseldine 2011, 135).",,N
Pontnewydd Cave,OxA-1025,32780BC - 29350BC,Wales,Denbighshire,"Bone (brown bear, femur, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11501,29420BC - 28900BC,Wales,Denbighshire,"Bone (fox, humerus)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11502,29610BC - 28990BC,Wales,Denbighshire,"Bone (red fox, humerus)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11503,37210BC - 33320BC,Wales,Denbighshire,"Bone (brown bear, humerus, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11504,36370BC - 32780BC,Wales,Denbighshire,"Bone (bear, femur, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11505,32160BC - 29290BC,Wales,Denbighshire,"Bone (bear, ulna)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11506,33940BC - 32620BC,Wales,Denbighshire,"Bone (bear, second phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11565,23980BC - 23390BC,Wales,Denbighshire,"Bone (arctic hare, pelvis, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11566,29330BC - 28810BC,Wales,Denbighshire,"Bone (wolf, caudal vertebra)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11608,26910BC - 26140BC,Wales,Denbighshire,"Bone (?wolf, tooth, upper right incisor)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11666,40500BC - 32140BC,Wales,Denbighshire,"Bone (arctic hare, pelvis, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11667,,Wales,Denbighshire,"Bone (collared lemming, mandible)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11668,31110BC - 26460BC,Wales,Denbighshire,"Bone (red fox, mandible, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11669,,Wales,Denbighshire,"Bone (reindeer, humerus, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11670,,Wales,Denbighshire,"Bone (reindeer, humerus, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11671,,Wales,Denbighshire,"Bone (reindeer, tibia)","AMS, ultrafiltrated gelatin, solvent pre-wash",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11672,36650BC - 32080BC,Wales,Denbighshire,"Bone (reindeer, tibia)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11673,43580BC - 32550BC,Wales,Denbighshire,"Bone (bear, fibula)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11674,,Wales,Denbighshire,"Bone (brown bear, humerus, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11675,38930BC - 31690BC,Wales,Denbighshire,"Bone (bear, humerus, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11676,,Wales,Denbighshire,"Bone (bear, second phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11677,,Wales,Denbighshire,"Bone (bear, second phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-11682,30060BC - 29220BC,Wales,Denbighshire,"Bone (wolf, caudal vertebra)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-12363,30750BC - 29540BC,Wales,Denbighshire,"Bone (mallard, humerus, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-12381,28850BC - 27570BC,Wales,Denbighshire,"Bone (Brent Goose, femur, right)","AMS, filtered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-12651,30830BC - 29530BC,Wales,Denbighshire,"Bone (Greylag goose, femur, rightn)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13362,,Wales,Denbighshire,"Bone (collared lemming, mandible)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13363,,Wales,Denbighshire,"Bone (collared lemming, mandible)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13364,,Wales,Denbighshire,"Bone (collared lemming, mandible)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13365,,Wales,Denbighshire,"Bone (red fox, calcaneum, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13366,,Wales,Denbighshire,"Bone (?red fox, femur right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13370,,Wales,Denbighshire,"Bone (red fox, mandible, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13371,,Wales,Denbighshire,"Bone (horse, first phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13372,,Wales,Denbighshire,"Bone (horse, lunate, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13373,,Wales,Denbighshire,"Bone (horse, metapodial)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13374,,Wales,Denbighshire,"Bone (horse, podial)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13377,,Wales,Denbighshire,"Bone (wolf, cuboid, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13378,,Wales,Denbighshire,"Bone (?wolf, radius)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13380,,Wales,Denbighshire,"Bone (reindeer, astragalus, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13381,,Wales,Denbighshire,"Bone (reindeer, astragalus, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13382,,Wales,Denbighshire,"Bone (reindeer, calcaneum, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13383,,Wales,Denbighshire,"Bone (reindeer, calcaneum, left)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13384,,Wales,Denbighshire,"Bone (reindeer, calcaneum, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13385,,Wales,Denbighshire,"Bone (reindeer, calcaneum, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13386,,Wales,Denbighshire,"Bone (reindeer, cuneiform)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13387,,Wales,Denbighshire,"Bone (reindeer, cuneiform, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13388,,Wales,Denbighshire,"Bone (reindeer, humerus, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13391,,Wales,Denbighshire,"Bone (reindeer, radius, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13399,,Wales,Denbighshire,"Bone (bear, femur, right)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13401,,Wales,Denbighshire,"Bone (bear, tibia)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13405,,Wales,Denbighshire,"Bone (bear, second phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13947,31430BC - 30170BC,Wales,Denbighshire,"Bone (mountain hare, pelvis, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13948,25670BC - 25250BC,Wales,Denbighshire,"Bone (hare, astragalus, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OXA-13983,28160BC - 27270BC,Wales,Denbighshire,"Bone (fox, tibia, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13984,27650BC - 26960BC,Wales,Denbighshire,"Bone (reindeer, first phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13985,26150BC - 25720BC,Wales,Denbighshire,"Bone (mountain hare, astragalus, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13986,28000BC - 27200BC,Wales,Denbighshire,"Bone (fox, scapula, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13987,32050BC - 31440BC,Wales,Denbighshire,"Bone (red fox, metatarsal)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13988,42880BC - 40770BC,Wales,Denbighshire,"Bone (?leopard, second phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13989,36790BC - 34820BC,Wales,Denbighshire,"Bone (brown bear, right maxilla and premaxilla)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13990,37380BC - 35680BC,Wales,Denbighshire,"Bone (brown bear, right maxilla and premaxilla)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13991,43410BC - 40800BC,Wales,Denbighshire,"Bone (?lion, phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13992,32270BC - 31660BC,Wales,Denbighshire,"Bone (bear, second phalange)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13993,32770BC - 31890BC,Wales,Denbighshire,"Bone (reindeer, metacarpal, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-13994,33590BC - 32070BC,Wales,Denbighshire,"Bone (?bear, long bone shaft)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14049,37650BC - 34440BC,Wales,Denbighshire,"Bone (fox, metapodial)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14050,29220BC - 28790BC,Wales,Denbighshire,"Bone (red fox, scapula, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14051,28430BC - 27430BC,Wales,Denbighshire,"Bone (hare, scapula)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14052,43140BC - 40230BC,Wales,Denbighshire,"Bone (reindeer, mandible, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14053,33310BC - 32370BC,Wales,Denbighshire,"Bone (hare, calcaneum, right)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14054,40230BC - 37110BC,Wales,Denbighshire,"Bone (bear, carpal)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14055,46260BC - 40860BC,Wales,Denbighshire,"Bone (reindeer, astragalus, left)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14056,32490BC - 31810BC,Wales,Denbighshire,"Bone (cervid, podial)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-14057,41750BC - 40050BC,Wales,Denbighshire,"Bone (mountain hare, calcaneum)","AMS, ultrafiltered gelatin",Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-15926,,Wales,Denbighshire,"Bone (red fox, radius)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-15929,,Wales,Denbighshire,"Bone (bear, second phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-15930,,Wales,Denbighshire,"Bone (reindeer, second phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-15931,,Wales,Denbighshire,"Bone (bear, second phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-15938,,Wales,Denbighshire,"Bone (hare, calcaneum)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4367,28980BC - 27420BC,Wales,Denbighshire,"Bone (bear, femur)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4368,32050BC - 29750BC,Wales,Denbighshire,"Bone (reindeer, radius and ulna)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4369,31870BC - 29590BC,Wales,Denbighshire,"Bone (?wolf, juvenile left radius)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4370,39800BC - 36340BC,Wales,Denbighshire,"Bone (Wild horse, phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4371,36820BC - 33570BC,Wales,Denbighshire,"Bone (arctic or mountain hare, calcaneum - conflict in records)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4372,31680BC - 29420BC,Wales,Denbighshire,"Bone (red fox, radius)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-4373,29570BC - 28740BC,Wales,Denbighshire,"Bone (deer, right calcaneum)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-5819,6460BC - 6070BC,Wales,Denbighshire,"Bone (human, mandible, c. 12 years old)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-5820,3490BC - 2920BC,Wales,Denbighshire,"Bone (human, metatarsal)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Pontnewydd Cave,OxA-6267,37130BC - 33940BC,Wales,Denbighshire,"Bone (woolly rhinoceros, phalange)",AMS,Cave containing palaeofauna and archaeology including early Neanderthal remains.,,N
Prestatyn,[Lab code not known],,Wales,Denbighshire,"Bone (ox, tibia)",[Not recorded],"Human skeleton found in 1924, below 1.22m of peat, at contact with boulder clay (Bell 2007, 303).",,N
Prestatyn,CAR-827,160BC - AD140,Wales,Denbighshire,Wood (stake),Radiometric,Civilian settlement.,,N
Prestatyn,OxA-16606,3710BC - 3530BC,Wales,Denbighshire,"Bone (human, right femur)",AMS,"Human skeleton found in 1924, below 1.22m of peat, at contact with boulder clay.",,N
Rhuddlan,CAR-239,AD1300 - AD1470,Wales,Denbighshire,"Bone (cattle and sheep, including teeth, collagen)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,CAR-240,AD690 - AD1020,Wales,Denbighshire,"Charcoal (oak, hazel, alder, gorse, excluding mature pieces)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,CAR-241,AD690 - AD1020,Wales,Denbighshire,"Charcoal (oak, hazel, alder, gorse)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4414,AD900 - AD1280,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4415,AD880 - AD1220,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4416,AD670 - AD1170,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4417,AD770 - AD1160,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4418,AD680 - AD1150,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4419,AD1050 - AD1400,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-4420,AD770 - AD1160,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-5029,AD1020 - AD1290,Wales,Denbighshire,"Charcoal (oak, hazel, alder, excluding mature pieces)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-5168,AD670 - AD1160,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-5169,AD900 - AD1280,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-5170,AD1040 - AD1380,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
Rhuddlan,HAR-5319,AD1020 - AD1300,Wales,Denbighshire,"Charcoal (oak, hazel, alder)",Radiometric,Saxon burh built by Edward the Elder in AD 921.,,N
"Rhuddlan, site E",BM-691,8210BC - 7580BC,Wales,Denbighshire,"Charcoal (hazel, nutshells)",Radiometric,"Mesolithic occupation site with Bronze Age and Romano-British archaeology below Norman defences (Quinnell et al 1994, 57).",,N
"Rhuddlan, site M",BM-822,7650BC - 7480BC,Wales,Denbighshire,"Charcoal (hazel, nutshells)",Radiometric,"Mesolithic occupation site with Romano-British archaeology below a Norman church (Quinnell et al 1994, 72).",,N
Rhyl Beach - 1,Hv-4348,3650BC - 3360BC,Wales,Denbighshire,"Peat (woody, detrital)",[Not recorded],Palaeoenvironmental study of coastal deposits.,,N
Tandderwen,CAR-1189,2140BC - 1690BC,Wales,Denbighshire,Charcoal,Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-1190,410BC - 50BC,Wales,Denbighshire,Charcoal (plank),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-1193,2200BC - 1760BC,Wales,Denbighshire,Charcoal (plank),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-1207,800BC - 90BC,Wales,Denbighshire,Charcoal (coffin),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-1234,AD770 - AD1120,Wales,Denbighshire,Wood (coffin),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-1277,1880BC - 1460BC,Wales,Denbighshire,Charcoal (plank),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Tandderwen,CAR-984,AD430 - AD680,Wales,Denbighshire,Wood (coffin),Radiometric,"Beaker, Bronze Age and Early medieval cemetery.",,N
Ysgol Twm O'r Nant,OxA-4942,AD1290 - AD1470,Wales,Denbighshire,Bone (human),AMS,[not recorded],,N
Babell,BM-2939,AD1680 - AD1940,Wales,Flintshire,Wood (oak),Radiometric,Excavation of a probable infilled mining shaft.,,N
Caergwrle Castle,GrN-16520,AD230 - AD390,Wales,Flintshire,"Charcoal (oak, large piece, c. 35 rings used for dating)",[Not recorded],13th century castle on a hilltop which had been enclosed by a defensive bank in the late Roman or early medieval period.,,N
Caergwrle Castle,GrN-16521,AD250 - AD420,Wales,Flintshire,"Charcoal (oak, large piece, c. 35 rings used for dating)",[Not recorded],13th century castle on a hilltop which had been enclosed by a defensive bank in the late Roman or early medieval period.,,N
Caerwys,BM-255,410BC - AD220,Wales,Flintshire,"Bone (human, post-cranial, collagen)",Radiometric,Tufa deposit containing a Mesolithic site.,,N
Caerwys B,Q-2376,11830BC - 11350BC,Wales,Flintshire,[Not recorded],[Not recorded],[not recorded],,N
Caerwys B,Q-2396,9660BC - 9150BC,Wales,Flintshire,[Not recorded],[Not recorded],[not recorded],,N
Gop Cave,OxA-10644,3090BC - 2890BC,Wales,Flintshire,"Bone (human, cranium)",AMS,"Stone-walled chamber within cave, containing 14 skeletons.",,N
Gop Cave,OxA-10645,3700BC - 3520BC,Wales,Flintshire,"Bone (human, mandible)",AMS,"Stone-walled chamber within cave, containing 14 skeletons.",,N
Gop Cave,OxA-10646,3500BC - 3100BC,Wales,Flintshire,"Bone (human, mandible)",AMS,"Stone-walled chamber within cave, containing 14 skeletons.",,N
Hendre,BM-2922,1920BC - 1680BC,Wales,Flintshire,"Bone (human, long bones)",Radiometric,Late Neolithic features associated with a natural mound.,,N
