Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
Bryn Eryr,CAR-1002,360BC - AD10,Wales,Isle of Anglesey,"Wood (twigs, small branches)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1003,AD20 - AD340,Wales,Isle of Anglesey,Charcoal (unfloated),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1004a,400BC - 0BC,Wales,Isle of Anglesey,Turf (coarse organic material),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1004b,200BC - AD90,Wales,Isle of Anglesey,Turf (fine organic material),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1042,AD130 - AD430,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1043,AD70 - AD390,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1057,1200BC - 830BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,"Sample might have been contaminated with coal (Longley 1998, 262).",Y
Bryn Eryr,CAR-1058,420BC - 90BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1059,110BC - AD240,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1060,770BC - 200BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1061,20BC - AD250,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1062,50BC - AD320,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1063,100BC - AD210,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1064,170BC - AD130,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1065,60BC - AD230,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-1222,350BC - AD90,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1223,AD20 - AD380,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1224,AD30 - AD390,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1225,20BC - AD340,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1226,5370BC - 4850BC,Wales,Isle of Anglesey,Charcoal (?oak),Radiometric,Multiphase rectangular earthwork containing roundhouses.,"Date is listed as anomalous (Longley 1998, 262).",N
Bryn Eryr,CAR-1227,1370BC - 900BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-1228,750BC - 190BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-944,AD70 - AD420,Wales,Isle of Anglesey,Wood (large piece),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-945,100BC - AD210,Wales,Isle of Anglesey,Wood (small),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N
Bryn Eryr,CAR-946,370BC - AD50,Wales,Isle of Anglesey,Wood,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-947,360BC - AD80,Wales,Isle of Anglesey,Wood,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-989,AD70 - AD410,Wales,Isle of Anglesey,"Wood (large piece, middle part)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-990,200BC - AD90,Wales,Isle of Anglesey,"Wood (large piece, inner part)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Eryr,CAR-999,AD120 - AD420,Wales,Isle of Anglesey,Charcoal (floated fragments),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y
Bryn Gwyn stone circle,SUERC-39677,3020BC - 2880BC,Wales,Isle of Anglesey,"Cremated bone (human, lower limb, fragment)",AMS,16m diameter stone circle.,[None recorded],N
Bryn Gwyn stone circle,SUERC-39678,2890BC - 2630BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,16m diameter stone circle.,[None recorded],N
Bryn Gwyn stone circle,SUERC-39679,1750BC - 1610BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,16m diameter stone circle.,[None recorded],N
