FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
313,,,ins-tæge+myg/hel+bagkrop,,,,,,,,,,,,,,,,,m,,×,
314,,,ins-tæger/bagkroppe,,,,,,,,,,,,,,,,,m,,×,
315,,,ins-tæger/kroppe+hoved+vinger,,,,,,,,,,,,,,,,,m,,×,
316,,,ins-tægehoved+krop,,,,,,,,,,,,,,,,,m,,×,
317,,,ins-tæge/hoved+krop+vinge,,,,,,,,,,,,,,,,,m,,×,
318,,,ins-tæge/rester,,,,,,,,,,,,,,,,,m,,×,
319,,,ins-tæge/krop,,,,,,,,,,,,,,,,,m,,×,
320,,,ins-tæge/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
321,,,ins-tæge/bagkrop,,,,,,,,,,,,,,,,,m,,×,
322,,,ins-tæge/krop,,,,,,,,,,,,,,,,,mgl.v. rev 2010,,÷,
323,,,ins-tæger/kroppe,,,,,,,,,,,,,,,,,m,,×,
324,,,ins-tæger/kroppe,,,,,,,,,,,,,,,,,m,,×,
325,,,ins-tæger/ 2 kroppe,,,,,,,,,,,,,,,,,m,,×,
326,,,ins-flue/krop+vinge,,,,,,,,,,,,,,,Pl. Udlånt til S.A. 2003,,,,÷,
327,,,ins-tæger/hele+rester,,,,,,,,,,,,,,,,,,,×,
328,,,ins-tæge/kroppe,,,,,,,,,,,,,,,3 forskellige fund,,m,,×,
329,,,ins-tæge m.f./hele+rester,,,,,,,,,,,,,,,,,m,,×,
330,,,ins-tæger m.m/krop+hoved,,,,,,,,,,,,,,,,,m,,×,
331,1,+modplade,ins-tæge/krop+hoved,,Bredtæge,Hemiptera,,,To tæger registreret under samme nr. nu delt i X1 og X2,,M. og N. Breiner,20*14mm,120*80*12mm,cementsten,god,,,,,m,,×,
331,2,+modplade,,,Bredtæge,Hemiptera,,,To tæger registreret under samme nr. nu delt i X1 og X2,,M. og N. Breiner,20*14mm,80*55*30,cementsten,god,,,,,m,,,
332,,,ins-tæger/krop+vinge,,,,,,,,,,,,,,,,,m,,×,
333,,,ins-tæger/ 2 kroppe+vinge,,,,,,,,,,,,,,,2 forsk. Fund.,,m,,×,
334,,,ins-tæge/krop,,,,,,,,,,,,,,,,,m,,×,
335,,,ins-tæge/krop+hoved,,,,,,,,,,,,,,,,,m,,×,
336,,,ins-tæge/krop+hoved,,,,,,,,,,,,,,,emnek.,,fandtes ikke v. rev.04,,÷,
337,,,ins-tæger/krop+hoved,,,,,,,,,,,,,,,2 forsk. Fund.,,m,,×,
338,,,ins-tæger/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
339,,,ins-tæger/krop+flere insekter,,,,,,,,,,,,,,,,,45B,,×,
340,,,ins-tæger/krop,,,,,,,,,,,,,,,,,m,,×,
341,,,ins-tæge/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
342,,,ins-tæge/krop+vinger+ben,,,,,,,,,,,,,,,,,m,,×,
343,,,ins-cikade/vinge,,,,,,,,,,,,,,,,,m,,×,
344,,,ins-tæge/krop,,,,,,,,,,,,,,,,,m,,×,
345,,,ins-tæger/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
346,,,ins-tæger/krop+dækvinge,,,,,,,,,,,,,,,,,m,,×,
347,,,ins-tæge/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
348,,,ins-tæger/for+bagkroppe,,,,,,,,,,,,,,,,,m,,×,
349,,,,,,,,,,,,,,,,,,ingen emnek.,,mgl.v. rev 04 ,,÷,
350,,,ins-tæge/for+bagkrop,,,,,,,,,,,,,,,,,m,,×,
351,,,ins-tæge/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
352,,,ins-tægr/hele/masseaftryk,,,,,,,,,,,,,,,,,m,,×,
353,,,ins-tæger/krop+hoved+rester,,,,,,,,,,,,,,,,,m,,×,
354,,,ins-tæge/vinge+del af krop,,,,,,,,,,,,,,,,,m,,×,
355,,,ins-cikade/vinge,,,,,,,,,,,,,,,,,m,,×,
356,,,ins-cikade/vinger+utydelig krop,,,,,,,,,,,,,,,,,m,,×,
357,,,ins-cikade/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
358,,,ins-flue/krop+vinger,,,,,,,,,,,,,,,emnek 2 pl. Udlånt til S.A. 2003,,,,÷,
359,,,ins-flue/krop+vinger,,,,,,,,,,,,,,,emnek. Pl. Udlånt til S.A. 2003,,,,÷,
360,,,ins-tæge/krop+hoved,,,,,,,,,,,,,,,,,m,,×,
361,,,ins-græshoppe/krop+hoved+vinger+ben,,,,,,,,,,,,,,,,,m,,×,
362,,,ins-tæge/krop+hoved+ben+følehorn,,,,,,,,,,,,,,,,,m,,×,
363,,,ins-flue/vinge,,,,,,,,,,,,,,,2 pl. Udlånt til S.A. 2003,,,,÷,
364,,,ins-tæger/krop+hoved,,,,,,,,,,,,,,,3 forsk. Fund,,m,,×,
365,,,ins-flue/fragm af krop+vinger,,,,,,,,,,,,,,,,,m,,×,
366,,,ins-græshoppe/vinge,,,,,,,,,,,,,,,,,m,,×,
367,,,ins-guldsmed/vinge,,,,,,,,,,,,,,,ikke returneret,,udlånt i 81,,÷,
368,,,ins-cikad/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
369,,,ins-cikade/krop+vinge,,,,,,,,,,,,,,,,,m,,×,
370,,,ins-cikade/krop+hoved+vinge,,,,,,,,,,,,,,,,,m,,×,
371,,,ins-stankelben/krop+hoved+ben+vinger,,,,,,,,,,,,,,,,,m,,×,
372,,,ins-flue/vinge+rest,,,,,,,,,,,,,,,,,m,,×,
373,,,ins-cikad/hoved+krop,,,,,,,,,,,,,,,,,m,,×,
374,,,ins-stankelben/vinger+krop+ben,,,,,,,,,,,,,,,,,m,,×,
375,,,ins-netvinge m. fl./krop+vinger,,,,,,,,,,,,,,,ikke returneret,,udlånt i 81,,÷,
376,,,ins-bille/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
377,,,ins-flue/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
378,,,ins-flu/krop+hoved+vinger,,,,,,,,,,,,,,,emnek. Udlånt til S.A. 2003,,fandtes ikke v. rev 04,,÷,
379,,,ins-tæge/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
380,,,ins-cikade/kroppe+vinger,,,,,,,,,,,,,,,,,m,,×,
381,,,ins-flue/krop+vinge,,,,,,,,,,,,,,,emnek.,,fandtes ikke v. rev. 04,,÷,
382,,,ins-cikade/krop+vingefragm,,,,,,,,,,,,,,,,,m,,×,
383,,,ins-flue/krop+vinge,,,,,,,,,,,,,,,kort nr. 4 ???. Pl. Udlånt til S.A. 2003,,fandtes v. rev 04,,÷,
384,,,ins-græshoppe/vinge,,,,,,,,,,,,,,,,,m,,×,
385,,,fisk-str.sild - neoclupavus/hel,,,,,,,,,,,,,,,,,m,,×,
386,,,fisk-str.sild - neoclupavushel,,,,,,,,,,,,,,,,,m,,×,
387,,,fisk-fiskeskæl/knogle ?,,,,,,,,,,,,,,,,,m,,×,
388,,,fisk-st.sild-eoclupavus/fragmenter,,,,,,,,,,,,,,,,,m,,×,
389,,,fisk-st.sild-neoclupavus/krøllet hel fisk,,,,,,,,,,,,,,,,,m,,×,
390,,,fisk-st.sild-neoclipavus/kran.rygs. Finner,,,,,,,,,,,,,,,,,m,,×,
