Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description,,Blwyddyn,Mis,Dydd,Amser,Tref / Pentref,Ardal,Galwediageth_x000D_(Lle'n Briodol ),Disgrifiad
1997,7,8,22:10,Llay/Wrexham,Denbighshire,-,"One object, with four lights. All yellow/orange in colour. It moved to the North, then turned to it's original position, then disappeared.",,1997,7,8,0.923611111,Llay/Wrecsam,Sir Ddinbych,-,"Un gwrthrych, gyda phedwar golau. Melyn/oren i gyd o ran lliw. Symudodd i'r gogledd, yna trodd i'w safle gwreiddiol, yna diflannu."
1997,8,8,23:30,Abergavenny,Monmouthshire,-,"Oefnfeec ot.b  ject, that was bigger than a car. It was white and very bright. It came down the road.",,1997,8,8,0.979166667,Y Fenni,Sir Fynwy,-,"Oefnfeec gwrt.h  rych, a oedd yn fwy o faint na char. Roedd yn wyn ac yn llachar iawn. Daeth i lawr yr heol."
1997,8,11,-,Cardiff,Glamorgan,-,"One shooting star. It zig-zagged across the sky, and then it disappeared.",,1997,8,11,-,Caerdydd,Morgannwg,-,"Un seren wib. Symudodd yn igam-ogam ar draws yr awyr, ac yna diflannodd."
1997,8,12,17:30,Cumbran nr Newport,Gwent,-,"A small triangular shaped object. It had black wings, and was sausage shaped in the middle. It was moving very fast.",,1997,8,12,0.729166667,Cumbran ger Casnewydd,Gwent,-,"Gwrthrych bach siâp triongl. Roedd ganddo adenydd du, ac roedd ei siâp fel selsigen yn y canol. Roedd yn symud yn gyflym iawn."
2007,9,7,22:20,Mynydd Caerau,Glamorgan,-,"One round object, with a white light. It also had flashing/rotating blue and red lights. It moved up and down.",,2007,9,7,0.930555556,Mynydd Caerau,Morgannwg,-,
1997,10,1,04:45,Brongest,Dyfed,-,"Three round, star sized objects, in a triangular formation. They circled around each other, and then went back to their original position. White and very bright. They were",,1997,10,1,0.197916667,Brongest,Dyfed,-,"Tri gwrthrych crwn, maint seren, mewn ffurfwedd triongl. Symudan nhw o gwmpas ei gilydd, ac yna mynd yn ôl i'w safle gwreiddiol. Gwyn a llachar iawn. Roedden nhw'n"
1997,10,2,20:19,Townhill/Swansea,West Glamorgan,-,"One round shaped object. Red, orange and green in colour and bright. The object was stationary.",,1997,10,2,0.846527778,Townhill/Abertawe,Gorllewin Morgannwg,-,
1997,10,22,02:49,Caernarfon,Caernarfonshire,-,"One object that had four lights on it. The lights were green, white, red and blue. The object was spinning in the sky.",,1997,10,22,0.117361111,Caernarfon,Sir Gaernarfon,-,"Un gwrthrych â phedwar golau arno. Roedd y goleuadau'n wyrdd, gwyn, coch a glas. Roedd y gwrthrych yn troelli yn yr awyr."
1997,11,30,17:27,Bridgend,Mid Glamorgan,-,"One large, circular object. White and very bright. The object was moving backwards and forwards.",,1997,11,30,0.727083333,Penybont,Morgannwg Ganol,-,Un gwrthrych mawr crwn. Gwyn a llachar iawn. Roedd y gwrthrych yn symud yn ôl ac ymlaen.
1997,12,5,02:09,8 Miles West,Isle of Anglesey,Pilot,"A bright, circular red light. About 3mm in diameter, relative to cockpit windscreen. Was moving in a Westerly direction.",,1997,12,5,0.089583333,8 Milltir I'r Gorllewin,Ynys Môn,Peilot,"Goleuni coch llachar, crwn. Tua 3mm mewn diamedr, o'i gymharu â sgrin wynt caban peilot. Roedd yn symud i gyfeiriad y Gorllewin."
1998,1,4,01:50,Raglan,Gwent,-,Circular in shape with a tail and extremely bright. It moved incredibly fast in different directions across the sky.,,1998,1,4,0.076388889,Rhaglan,Gwent,-,Crwn ei siâp gyda chynffon ac yn hynod o lachar. Symudodd yn anghredadwy o gyflym mewn cyfeiriadau gwahanol ar draws yr awyr.
1998,1,24,15:00,Swansea,West Glamorgan,-,"Black, triangular shaped object, with two fins.",,1998,1,24,0.625,Abertawe,Gorllewin Morgannwg,-,"Gwrthrych du, siâp triongl, gyda dwy asgell."
1998,1,25,20:25,Newport,Gwent,-,"One object, thought to be a star, with stud like lights underneath in a circle. Was travelling North in a straight line.",,1998,1,25,0.850694444,Casnewydd,Gwent,-,"Un gwrthrych, y credwyd ei fod yn seren, gyda goleuadau tebyg i stydiau odano mewn cylch. Roedd yn teithio tua'r gogledd mewn llinell syth."
