Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Bedd Branwen,GrA-19642,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19642,2140BC - 1770BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19643,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19643,2140BC - 1770BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19650,2040BC - 1690BC,Wales,Isle of Anglesey,Cremated bone (human),[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19650,2040BC - 1690BC,Cymru,Ynys Môn,Asgwrn amlosgedig (dynol),[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19652,2030BC - 1690BC,Wales,Isle of Anglesey,"Cremated bone (human, adult male)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19652,2030BC - 1690BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn gwyrw)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bedd Branwen,GrA-19657,2140BC - 1770BC,Wales,Isle of Anglesey,"Cremated bone (human, adult)",[Not recorded],Bronze Age burial cairn overlying earlier features.,[None recorded],N,,Bedd Branwen,GrA-19657,2140BC - 1770BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, oedolyn)",[Heb ei gofnodi],Carn gladdu Oes Efydd yn gorwedd dros nodweddion cynharach.,[Heb eu cofnodi],N
Bodwrog,OxA-4652,980BC - 800BC,Wales,Isle of Anglesey,"Wood (willow / poplar, haft)",AMS,Radiocarbon dating of a bronze gouge.,[None recorded],N,,Bodwrog,OxA-4652,980BC - 800BC,Cymru,Ynys Môn,"Pren (helyg / poplys, carn)",AMS,Dyddio radiocarbon cŷn efydd.,[Heb eu cofnodi],N
Bryn Cefni,Beta-164490,1490BC - 1110BC,Wales,Isle of Anglesey,"Wood (hazel, timber, trough, charred)",[Not recorded],Excavation of a burnt mound.,[None recorded],N,,Bryn Cefni,Beta-164490,1490BC - 1110BC,Cymru,Ynys Môn,"Pren (coll, coedyn, cafn, golosgedig)",[Heb ei gofnodi],Cloddiad twmpath llosg.,[Heb eu cofnodi],N
Bryn Cefni,Beta-168011,1430BC - 1210BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N,,Bryn Cefni,Beta-168011,1430BC - 1210BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Cloddiad twmpath llosg.,[Heb eu cofnodi],N
Bryn Cefni,Beta-168012,1630BC - 1320BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N,,Bryn Cefni,Beta-168012,1630BC - 1320BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Cloddiad twmpath llosg.,[Heb eu cofnodi],N
Bryn Cefni,Beta-168013,1430BC - 1010BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Excavation of a burnt mound.,[None recorded],N,,Bryn Cefni,Beta-168013,1430BC - 1010BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Cloddiad twmpath llosg.,[Heb eu cofnodi],N
