Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Cleifiog Uchaf,Beta-127199,3370BC - 2490BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Prehistoric and Romano-British site.,[None recorded],N,,Cleifiog Uchaf,Beta-127199,3370BC - 2490BC,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Safle cynhanesyddol a Brythonaidd-Rufeinig.,[Heb eu cofnodi],N
Cleifiog Uchaf,Beta-127200,2880BC - 2290BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N,,Cleifiog Uchaf,Beta-127200,2880BC - 2290BC,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],"Safle cynhanesyddol a Brythonaidd-Rufeinig (Davidson 1999, 70).",[Heb eu cofnodi],N
Cleifiog Uchaf,Beta-127203,2190BC - 1920BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N,,Cleifiog Uchaf,Beta-127203,2190BC - 1920BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],"Safle cynhanesyddol a Brythonaidd-Rufeinig (Davidson 1999, 70).",[Heb eu cofnodi],N
Cleifiog Uchaf,Beta-127204,2200BC - 1930BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N,,Cleifiog Uchaf,Beta-127204,2200BC - 1930BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],"Safle cynhanesyddol a Brythonaidd-Rufeinig (Davidson 1999, 70).",[Heb eu cofnodi],N
Cors Goch,OxA-6090,AD580 - AD770,Wales,Isle of Anglesey,Peat,AMS,Palaeoenvironmental study of a valley mire.,[None recorded],N,,Cors Goch,OxA-6090,AD580 - AD770,Cymru,Ynys Môn,Mawn,AMS,Astudiaeth baleoamgylcheddol o gors dyffryn.,[Heb eu cofnodi],N
Cors Goch,OxA-6093,790BC - 400BC,Wales,Isle of Anglesey,Peat,AMS,Palaeoenvironmental study of a valley mire.,[None recorded],N,,Cors Goch,OxA-6093,790BC - 400BC,Cymru,Ynys Môn,Mawn,AMS,Astudiaeth baleoamgylcheddol o gors dyffryn.,[Heb eu cofnodi],N
Figin Fawr,Beta-106684,2460BC - 2020BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Burnt mound.,[None recorded],N,,Figin Fawr,Beta-106684,2460BC - 2020BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Twmpath llosg.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-101526,AD890 - AD1270,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-101526,AD890 - AD1270,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-101535,AD720 - AD980,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-101535,AD720 - AD980,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-101536,3760BC - 3370BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-101536,3760BC - 3370BC,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113383,,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113383,,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113386,AD420 - AD670,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113386,AD420 - AD670,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113390,AD550 - AD670,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113390,AD550 - AD670,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113392,AD660 - AD890,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113392,AD660 - AD890,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113398,AD730 - AD990,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113398,AD730 - AD990,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113402,AD650 - AD950,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113402,AD650 - AD950,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-113403,,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-113403,,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123193,AD120 - AD600,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123193,AD120 - AD600,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123194,AD70 - AD550,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123194,AD70 - AD550,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123196,AD600 - AD980,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123196,AD600 - AD980,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123197,AD600 - AD770,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123197,AD600 - AD770,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123198,AD380 - AD670,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123198,AD380 - AD670,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123200,AD530 - AD770,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123200,AD530 - AD770,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123201,AD670 - AD990,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123201,AD670 - AD990,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123202,AD430 - AD770,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123202,AD430 - AD770,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123206,AD660 - AD950,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123206,AD660 - AD950,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123209,AD630 - AD900,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123209,AD630 - AD900,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123211,AD670 - AD890,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123211,AD670 - AD890,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123212,AD600 - AD770,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123212,AD600 - AD770,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-123213,AD420 - AD680,Wales,Isle of Anglesey,"Bone (human, adult, leg)",[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-123213,AD420 - AD680,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn, coes)",[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-138874,AD900 - AD1230,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-138874,AD900 - AD1230,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-138876,1190BC - 890BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Burnt mound.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-138876,1190BC - 890BC,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Twmpath llosg.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-138878,AD600 - AD890,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-138878,AD600 - AD890,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-138885,AD600 - AD690,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-138885,AD600 - AD690,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-150712,AD660 - AD890,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-150712,AD660 - AD890,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-150715,AD900 - AD1120,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-150715,AD900 - AD1120,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-15714,AD770 - AD1000,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-15714,AD770 - AD1000,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-77210,AD420 - AD770,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-77210,AD420 - AD770,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-77211,AD610 - AD1020,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-77211,AD610 - AD1020,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-77212,AD690 - AD1040,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-77212,AD690 - AD1040,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90536,AD760 - AD1030,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90536,AD760 - AD1030,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90537,AD770 - AD1120,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90537,AD770 - AD1120,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90542,AD680 - AD1040,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90542,AD680 - AD1040,Cymru,Ynys Môn,Golosg,[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90544,40BC - AD650,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90544,40BC - AD650,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90545,AD780 - AD1270,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90545,AD780 - AD1270,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90547,3500BC - 3090BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90547,3500BC - 3090BC,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90548,AD640 - AD860,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90548,AD640 - AD860,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90549,AD250 - AD540,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90549,AD250 - AD540,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
"Glyn, Llanbedrgoch",Beta-90551,AD640 - AD780,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N,,"Glyn, Llanbedrgoch",Beta-90551,AD640 - AD780,Cymru,Ynys Môn,[Heb ei gofnodi],[Heb ei gofnodi],Anheddiad canoloesol cynnar wedi ei amgáu gan ffos sylweddol.,[Heb eu cofnodi],N
Gwalchmai,SWAN-125,2210BC - 1820BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Burnt mound.,[None recorded],N,,Gwalchmai,SWAN-125,2210BC - 1820BC,Cymru,Ynys Môn,Golosg,Radiometrig,Twmpath llosg.,[Heb eu cofnodi],N
Gwalchmai,SWAN-128,980BC - 770BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Burnt mound.,[None recorded],N,,Gwalchmai,SWAN-128,980BC - 770BC,Cymru,Ynys Môn,Golosg,Radiometrig,Twmpath llosg.,[Heb eu cofnodi],N
"Holywood, site DA3",Wk-9552,AD590 - AD780,Wales,Isle of Anglesey,Charcoal (gorse / broom),[Not recorded],Burnt mound with associated pits.,[None recorded],N,,"Holywood, safle DA3",Wk-9552,AD590 - AD780,Cymru,Ynys Môn,Golosg (eithin / banadl),[Heb ei gofnodi],Twmpath llosg gyda phyllau cysylltiedig.,[Heb eu cofnodi],N
Llanbedrgoch,SUERC-64279,AD430 - AD599,Wales,Isle of Anglesey,"Bone (human, tibia, adult)",AMS,Early medieval cemetery.,[None recorded],N,,Llanbedrgoch,SUERC-64279,AD430 - AD599,Cymru,Ynys Môn,"Asgwrn (dynol, tibia, oedolyn)",AMS,Mynwent ganoloesol gynnar.,[Heb eu cofnodi],N
Llanbedrgoch,SWAN-124,1220BC - 830BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Burnt mound.,[None recorded],N,,Llanbedrgoch,SWAN-124,1220BC - 830BC,Cymru,Ynys Môn,Golosg,Radiometrig,Twmpath llosg.,[Heb eu cofnodi],N
Llanfechell,Beta-254971,2340BC - 2040BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,Excavation around a chambered tomb.,,N,,Llanfechell,Beta-254971,2340BC - 2040BC,Cymru,Ynys Môn,Golosg (coll),AMS,Cloddiad o amgylch beddrod siambrog.,,N
Llanfechell,Beta-254972,AD720 - AD970,Wales,Isle of Anglesey,Charcoal (hazel),AMS,Excavation around a chambered tomb.,,N,,Llanfechell,Beta-254972,AD720 - AD970,Cymru,Ynys Môn,Golosg (coll),AMS,Cloddiad o amgylch beddrod siambrog.,,N
Llanfechell,Beta-286714,4460BC - 4330BC,Wales,Isle of Anglesey,Charcoal (hazel),[Not recorded],Excavation around a standing stone.,,N,,Llanfechell,Beta-286714,4460BC - 4330BC,Cymru,Ynys Môn,Golosg (coll),[Heb ei gofnodi],Cloddiad o amgylch maen hir.,,N
Llanfechell,SUERC-28587,740BC - 390BC,Wales,Isle of Anglesey,Charcoal (heather),[Not recorded],Excavation around a standing stone.,,N,,Llanfechell,SUERC-28587,740BC - 390BC,Cymru,Ynys Môn,Golosg (grug),[Heb ei gofnodi],Cloddiad o amgylch maen hir.,,N
Llaniestyn,SUERC-71027,AD680 - AD880,Wales,Isle of Anglesey,"Charcoal (hazel, nutshell)",AMS,Early medieval cemetery.,,N,,Llaniestyn,SUERC-71027,AD680 - AD880,Cymru,Ynys Môn,"Golosg (coll, masgl)",AMS,Mynwent ganoloesol gynnar.,,N
Llaniestyn,SUERC-71028,AD680 - AD890,Wales,Isle of Anglesey,"Charcoal (hazel, nutshell)",AMS,Early medieval cemetery.,,N,,Llaniestyn,SUERC-71028,AD680 - AD890,Cymru,Ynys Môn,"Golosg (coll, masgl)",AMS,Mynwent ganoloesol gynnar.,,N
Llaniestyn,SUERC-71029,180BC - AD10,Wales,Isle of Anglesey,Charcoal (heather/ericaceae),AMS,Early medieval cemetery.,,N,,Llaniestyn,SUERC-71029,180BC - AD10,Cymru,Ynys Môn,Golosg (grug/ericaceae),AMS,Mynwent ganoloesol gynnar.,,N
Llaniestyn,SUERC-71030,,Wales,Isle of Anglesey,Charcoal (heather/ericaceae),AMS,Early medieval cemetery.,,N,,Llaniestyn,SUERC-71030,,Cymru,Ynys Môn,Golosg (grug/ericaceae),AMS,Mynwent ganoloesol gynnar.,,N
Llyn Cerrig Bach,OXA-17436,200BC - 40BC,Wales,Isle of Anglesey,"Wood (ash, shaft)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OXA-17436,200BC - 40BC,Cymru,Ynys Môn,"Pren (onn, paladr)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Llyn Cerrig Bach,OXA-17437,210BC - 40BC,Wales,Isle of Anglesey,"Wood (ash, shaft)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OXA-17437,210BC - 40BC,Cymru,Ynys Môn,"Pren (onn, paladr)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Llyn Cerrig Bach,OXA-17512,400BC - 200BC,Wales,Isle of Anglesey,"Wood (oak, pole)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OXA-17512,400BC - 200BC,Cymru,Ynys Môn,"Pren (derw, polyn)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Llyn Cerrig Bach,OxA-6390,350BC - AD50,Wales,Isle of Anglesey,"Bone (Canid, mandible)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OxA-6390,350BC - AD50,Cymru,Ynys Môn,"asgwrn (Canid, mandibl)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Llyn Cerrig Bach,OxA-6391,400BC - 180BC,Wales,Isle of Anglesey,"Bone (sheep / goat, mandible)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OxA-6391,400BC - 180BC,Cymru,Ynys Môn,"asgwrn (dafad / gafr, mandibl)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Llyn Cerrig Bach,OxA-6392,540BC - 350BC,Wales,Isle of Anglesey,"Bone (ox, frontal)",AMS,Lake containing Iron Age ritual deposits.,,N,,Llyn Cerrig Bach,OxA-6392,540BC - 350BC,Cymru,Ynys Môn,"asgwrn (ychen, blaen)",AMS,Llyn yn cynnwys dyddodion defodol Oes Haearn.,,N
Malltraeth Marsh,SRR-2505,40340BC - 37040BC,Wales,Isle of Anglesey,Organic material (including wood and shell),[Not recorded],Palaeoenvironmental study of estuarine deposits.,,N,,Cors Malltraeth,SRR-2505,40340BC - 37040BC,Cymru,Ynys Môn,Deunydd organig (gan gynnwys pren a chragen),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o dyddodion aberol.,,N
Malltraeth Marsh,SRR-2506,6440BC - 6220BC,Wales,Isle of Anglesey,Organic material (including wood and shell),[Not recorded],Palaeoenvironmental study of estuarine deposits.,,N,,Cors Malltraeth,SRR-2506,6440BC - 6220BC,Cymru,Ynys Môn,Deunydd organig (gan gynnwys pren a chragen),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o dyddodion aberol.,,N
Malltraeth Marsh,SRR-2507,7000BC - 6380BC,Wales,Isle of Anglesey,Shell (fragments),[Not recorded],Palaeoenvironmental study of estuarine deposits.,,N,,Cors Malltraeth,SRR-2507,7000BC - 6380BC,Cymru,Ynys Môn,Cragen (darnau),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o dyddodion aberol.,,N
Malltraeth Marsh,SRR-2644,21800BC - 20510BC,Wales,Isle of Anglesey,Organic material (including wood and shell),[Not recorded],Palaeoenvironmental study of estuarine deposits.,,N,,Cors Malltraeth,SRR-2644,21800BC - 20510BC,Cymru,Ynys Môn,Deunydd organig (gan gynnwys pren a chragen),[Heb ei gofnodi],Astudiaeth baleoamgylcheddol o dyddodion aberol.,,N
