fecha,mes,tempMaxC,tempMinC,humedad,presión (mBar),VelDeVientoMax (kph),Precip (cm),nubes,eventos,VientoDir
"Nov 26, 2014",11,26.7,18.9,72,1015,25.6,0,5,Lluvia,77
"Nov 27, 2014",11,28.3,19.4,66,1014,38.4,0.203,4,Lluvia,70
"Nov 28, 2014",11,26.7,19.4,64,1013,36.8,0,1,,83
"Nov 29, 2014",11,26.7,20,64,1013,,0,3,,88
"Nov 30, 2014",11,28.3,18.3,58,1013,25.6,0,1,,87
"Dec 1, 2014",12,30,20.6,66,1013,24,0,4,,98
"Dec 2, 2014",12,30,19.4,64,1011,28.8,0,3,,85
"Dec 3, 2014",12,27.2,19.4,65,1011,27.2,0,3,,79
"Dec 4, 2014",12,25.6,20,73,1013,27.2,0,6,Lluvia,80
"Dec 5, 2014",12,26.7,18.9,79,1015,14.4,0.051,6,Neblina-Lluvia,140
"Dec 6, 2014",12,26.7,20,73,1015,22.4,0,5,Lluvia,89
"Dec 7, 2014",12,26.7,20,68,1014,,0,5,,97
"Dec 8, 2014",12,26.7,18.3,66,1014,27.2,0,4,,80
"Dec 9, 2014",12,29.4,18.3,63,1015,24,0,2,,81
"Dec 10, 2014",12,26.7,16.1,62,1015,38.4,0,3,,94
"Dec 11, 2014",12,27.8,18.3,65,1015,27.2,0,3,,73
"Dec 12, 2014",12,25.6,19.4,70,1016,25.6,0,5,Lluvia,96
"Dec 13, 2014",12,26.1,17.8,73,1015,19.2,0.203,6,Lluvia,97
"Dec 14, 2014",12,25,16.7,72,1015,19.2,0,5,Lluvia,99
"Dec 15, 2014",12,24.4,16.7,67,1015,19.2,0,5,,89
"Dec 16, 2014",12,25.6,17.8,67,1017,20.8,0,4,,103
"Dec 17, 2014",12,28.3,17.2,69,1016,27.2,0,4,Lluvia,103
"Dec 18, 2014",12,28.3,17.2,69,1015,19.2,0.025,3,Lluvia,109
"Dec 19, 2014",12,28.3,17.8,63,1015,22.4,0,3,,99
"Dec 20, 2014",12,28.9,17.2,59,1015,27.2,0,1,,85
"Dec 21, 2014",12,27.8,15.6,61,1015,19.2,0,2,,87
"Dec 22, 2014",12,28.9,17.2,63,1013,28.8,0,1,,98
"Dec 23, 2014",12,28.3,17.2,69,1012,19.2,0,3,Neblina,128
"Dec 24, 2014",12,29.4,17.2,67,1013,19.2,0,4,Neblina,106
"Dec 25, 2014",12,27.8,20.6,59,1014,38.4,0,4,,86
"Dec 26, 2014",12,27.2,19.4,55,1014,36.8,0,1,,79
"Dec 27, 2014",12,28.3,19.4,61,1014,44.8,0,2,,100
"Dec 28, 2014",12,27.8,20,57,1014,25.6,0,1,,98
"Dec 29, 2014",12,29.4,19.4,59,1015,28.8,0.102,2,Lluvia,95
"Dec 30, 2014",12,28.9,19.4,62,1015,,0,3,,87
"Dec 31, 2014",12,27.8,20,58,1014,33.6,0,2,,85
